"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2010","Total","Both Sexes","Abilene (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","117063","1,2"
"United States of America","2010","Total","Both Sexes","Akron (OH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","199110","1,2"
"United States of America","2010","Total","Both Sexes","Albuquerque (NM)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","545852","1,2"
"United States of America","2010","Total","Both Sexes","Alexandria (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","139966","1,2"
"United States of America","2010","Total","Both Sexes","Allentown (PA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","118032","1,2"
"United States of America","2010","Total","Both Sexes","Amarillo (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","190695","1,2"
"United States of America","2010","Total","Both Sexes","Anaheim (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","336265","1,2"
"United States of America","2010","Total","Both Sexes","Anchorage (AK)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","291826","1,2,3"
"United States of America","2010","Total","Both Sexes","Ann Arbor (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","113934","1,2"
"United States of America","2010","Total","Both Sexes","Antioch (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","102372","1,2"
"United States of America","2010","Total","Both Sexes","Arlington (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","365438","1,2"
"United States of America","2010","Total","Both Sexes","Arlington (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","207627","1,2"
"United States of America","2010","Total","Both Sexes","Arvada (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","106433","1,2"
"United States of America","2010","Total","Both Sexes","Athens (GA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","115452","1,2,4"
"United States of America","2010","Total","Both Sexes","Atlanta (GA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","420003","1,2"
"United States of America","2010","Total","Both Sexes","Augusta (GA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","195844","1,2,5"
"United States of America","2010","Total","Both Sexes","Aurora (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","325078","1,2"
"United States of America","2010","Total","Both Sexes","Aurora (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","197899","1,2"
"United States of America","2010","Total","Both Sexes","Austin (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","790390","1,2"
"United States of America","2010","Total","Both Sexes","Bakersfield (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","347483","1,2"
"United States of America","2010","Total","Both Sexes","Baltimore (MD)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","620961","1,2"
"United States of America","2010","Total","Both Sexes","Baton Rouge (LA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","229493","1,2"
"United States of America","2010","Total","Both Sexes","Beaumont (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","118296","1,2"
"United States of America","2010","Total","Both Sexes","Bellevue (WA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","122363","1,2"
"United States of America","2010","Total","Both Sexes","Berkeley (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","112580","1,2"
"United States of America","2010","Total","Both Sexes","Billings (MT)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","104170","1,2"
"United States of America","2010","Total","Both Sexes","Birmingham (AL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","212237","1,2"
"United States of America","2010","Total","Both Sexes","Boise City (ID)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","205671","1,2"
"United States of America","2010","Total","Both Sexes","Boston (MA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","617594","1,2"
"United States of America","2010","Total","Both Sexes","Brandon (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103483","1,2,6"
"United States of America","2010","Total","Both Sexes","Bridgeport (CT)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","144229","1,2"
"United States of America","2010","Total","Both Sexes","Brownsville (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","175023","1,2"
"United States of America","2010","Total","Both Sexes","Buffalo (NY)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","261310","1,2"
"United States of America","2010","Total","Both Sexes","Burbank (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103340","1,2"
"United States of America","2010","Total","Both Sexes","Carlsbad (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105328","1,2"
"United States of America","2010","Total","Both Sexes","Cambridge (MA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105162","1,2"
"United States of America","2010","Total","Both Sexes","Cape Coral (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","154305","1,2"
"United States of America","2010","Total","Both Sexes","Carrollton (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","119097","1,2"
"United States of America","2010","Total","Both Sexes","Cary (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","135234","1,2"
"United States of America","2010","Total","Both Sexes","Cedar Rapids (IA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","126326","1,2"
"United States of America","2010","Total","Both Sexes","Centennial (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","100377","1,2"
"United States of America","2010","Total","Both Sexes","Chandler (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","236123","1,2"
"United States of America","2010","Total","Both Sexes","Charleston (SC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","120083","1,2"
"United States of America","2010","Total","Both Sexes","Charlotte (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","731424","1,2"
"United States of America","2010","Total","Both Sexes","Chattanooga (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","167674","1,2"
"United States of America","2010","Total","Both Sexes","Chesapeake (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","222209","1,2"
"United States of America","2010","Total","Both Sexes","Chicago (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","2695598","1,2"
"United States of America","2010","Total","Both Sexes","Chula Vista (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","243916","1,2"
"United States of America","2010","Total","Both Sexes","Cincinnati (OH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","296943","1,2"
"United States of America","2010","Total","Both Sexes","Clarksville (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","132929","1,2"
"United States of America","2010","Total","Both Sexes","Clearwater (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","107685","1,2"
"United States of America","2010","Total","Both Sexes","Cleveland (OH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","396815","1,2"
"United States of America","2010","Total","Both Sexes","Colorado Springs (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","416427","1,2"
"United States of America","2010","Total","Both Sexes","Columbia (MO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108500","1,2"
"United States of America","2010","Total","Both Sexes","Columbia (SC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","129272","1,2"
"United States of America","2010","Total","Both Sexes","Columbus (GA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","189885","1,2"
"United States of America","2010","Total","Both Sexes","Columbus (OH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","787033","1,2"
"United States of America","2010","Total","Both Sexes","Concord (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","122067","1,2"
"United States of America","2010","Total","Both Sexes","Coral Springs (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","121096","1,2"
"United States of America","2010","Total","Both Sexes","Corona (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","152374","1,2"
"United States of America","2010","Total","Both Sexes","Corpus Christi (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","305215","1,2"
"United States of America","2010","Total","Both Sexes","Costa Mesa (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","109960","1,2"
"United States of America","2010","Total","Both Sexes","Dallas (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","1197816","1,2"
"United States of America","2010","Total","Both Sexes","Daly City (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","101123","1,2"
"United States of America","2010","Total","Both Sexes","Dayton (OH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","141527","1,2"
"United States of America","2010","Total","Both Sexes","Denton (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","113383","1,2"
"United States of America","2010","Total","Both Sexes","Denver (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","600158","1,2"
"United States of America","2010","Total","Both Sexes","Des Moines (IA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","203433","1,2"
"United States of America","2010","Total","Both Sexes","Detroit (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","713777","1,2"
"United States of America","2010","Total","Both Sexes","Downey (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","111772","1,2"
"United States of America","2010","Total","Both Sexes","Durham (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","228330","1,2"
"United States of America","2010","Total","Both Sexes","East Los Angeles (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","126496","1,2,6"
"United States of America","2010","Total","Both Sexes","El Monte (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","113475","1,2"
"United States of America","2010","Total","Both Sexes","El Paso (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","649121","1,2"
"United States of America","2010","Total","Both Sexes","Elgin (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108188","1,2"
"United States of America","2010","Total","Both Sexes","Elizabeth (NJ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","124969","1,2"
"United States of America","2010","Total","Both Sexes","Elk Grove (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","153015","1,2"
"United States of America","2010","Total","Both Sexes","Enterprise (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108481","1,2,6"
"United States of America","2010","Total","Both Sexes","Erie (PA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","101786","1,2"
"United States of America","2010","Total","Both Sexes","Escondido (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","143911","1,2"
"United States of America","2010","Total","Both Sexes","Eugene (OR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","156185","1,2"
"United States of America","2010","Total","Both Sexes","Evansville (IN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","117429","1,2"
"United States of America","2010","Total","Both Sexes","Everett (WA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103019","1,2"
"United States of America","2010","Total","Both Sexes","Fairfield (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105321","1,2"
"United States of America","2010","Total","Both Sexes","Fargo (ND)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105549","1,2"
"United States of America","2010","Total","Both Sexes","Fayetteville (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","200564","1,2"
"United States of America","2010","Total","Both Sexes","Flint (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","102434","1,2"
"United States of America","2010","Total","Both Sexes","Fontana (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","196069","1,2"
"United States of America","2010","Total","Both Sexes","Fort Collins (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","143986","1,2"
"United States of America","2010","Total","Both Sexes","Fort Lauderdale (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","165521","1,2"
"United States of America","2010","Total","Both Sexes","Fort Wayne (IN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","253691","1,2"
"United States of America","2010","Total","Both Sexes","Fort Worth (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","741206","1,2"
"United States of America","2010","Total","Both Sexes","Fremont (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","214089","1,2"
"United States of America","2010","Total","Both Sexes","Fresno (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","494665","1,2"
"United States of America","2010","Total","Both Sexes","Frisco (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","116989","1,2"
"United States of America","2010","Total","Both Sexes","Fullerton (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","135161","1,2"
"United States of America","2010","Total","Both Sexes","Gainesville (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","124354","1,2"
